Time (t) , Room temperature(T(t))
45.40, 16.8274
45.50, 16.8202
45.60, 16.8131
45.70, 16.8059
45.80, 16.7988
45.90, 16.7916
46.00, 16.7845
46.10, 16.7774
46.20, 16.7703
46.30, 16.7632
46.40, 16.7561
46.50, 16.7490
46.60, 16.7419
46.70, 16.7348
46.80, 16.7277
46.90, 16.7207
47.00, 16.7136
47.10, 16.7066
47.20, 16.6995
47.30, 16.6925
47.40, 16.6855
47.50, 16.6784
47.60, 16.6714
47.70, 16.6644
47.80, 16.6574
47.90, 16.6504
48.00, 16.6434
48.10, 16.6365
48.20, 16.6295
48.30, 16.6225
48.40, 16.6156
48.50, 16.6086
48.60, 16.6017
48.70, 16.5948
48.80, 16.5878
48.90, 16.5809
49.00, 16.5740
49.10, 16.5671
49.20, 16.5602
49.30, 16.5533
49.40, 16.5464
49.50, 16.5396
49.60, 16.5327
49.70, 16.5258
49.80, 16.5190
49.90, 16.5122
50.00, 16.5053
50.10, 16.4985
50.20, 16.4917
50.30, 16.4848
50.40, 16.4780
50.50, 16.4712
50.60, 16.4644
50.70, 16.4577
50.80, 16.4509
50.90, 16.4441
51.00, 16.4373
51.10, 16.4306
51.20, 16.4238
51.30, 16.4171
51.40, 16.4103
51.50, 16.4036
51.60, 16.3969
51.70, 16.3902
51.80, 16.3835
51.90, 16.3768
52.00, 16.3701
52.10, 16.3634
52.20, 16.3567
52.30, 16.3500
52.40, 16.3433
52.50, 16.3367
52.60, 16.3300
52.70, 16.3234
52.80, 16.3167
52.90, 16.3101
53.00, 16.3035
53.10, 16.2969
53.20, 16.2903
53.30, 16.2837
53.40, 16.2771
53.50, 16.2705
53.60, 16.2639
53.70, 16.2573
53.80, 16.2507
53.90, 16.2442
54.00, 16.2376
54.10, 16.2311
54.20, 16.2245
54.30, 16.2180
54.40, 16.2115
54.50, 16.2049
54.60, 16.1984
54.70, 16.1919
54.80, 16.1854
54.90, 16.1789
55.00, 16.1724
55.10, 16.1659
55.20, 16.1595
55.30, 16.1530
55.40, 16.1465
55.50, 16.1401
55.60, 16.1336
55.70, 16.1272
55.80, 16.1208
55.90, 16.1143
56.00, 16.1079
56.10, 16.1015
56.20, 16.0951
56.30, 16.0887
56.40, 16.0823
56.50, 16.0759
56.60, 16.0695
56.70, 16.0632
56.80, 16.0568
56.90, 16.0504
57.00, 16.0441
57.10, 16.0377
57.20, 16.0314
57.30, 16.0251
57.40, 16.0187
57.50, 16.0124
57.60, 16.0061
57.70, 15.9998
57.80, 15.9935
57.90, 15.9872
58.00, 15.9809
58.10, 15.9746
58.20, 15.9684
58.30, 15.9621
58.40, 15.9558
58.50, 15.9496
58.60, 15.9433
58.70, 15.9371
58.80, 15.9309
58.90, 15.9246
59.00, 15.9184
59.10, 15.9122
59.20, 15.9060
59.30, 15.8998
59.40, 15.8936
59.50, 15.8874
59.60, 15.8812
59.70, 15.8751
59.80, 15.8689
59.90, 15.8627
60.00, 15.8566
60.10, 15.8504
60.20, 15.8443
60.30, 15.8381
60.40, 15.8320
60.50, 15.8259
60.60, 15.8198
60.70, 15.8137
60.80, 15.8076
60.90, 15.8015
61.00, 15.7954
61.10, 15.7893
61.20, 15.7832
61.30, 15.7771
61.40, 15.7711
61.50, 15.7650
61.60, 15.7590
61.70, 15.7529
61.80, 15.7469
61.90, 15.7408
62.00, 15.7348
62.10, 15.7288
62.20, 15.7228
62.30, 15.7168
62.40, 15.7108
62.50, 15.7048
62.60, 15.6988
62.70, 15.6928
62.80, 15.6868
62.90, 15.6808
63.00, 15.6749
63.10, 15.6689
63.20, 15.6630
63.30, 15.6570
63.40, 15.6511
63.50, 15.6451
63.60, 15.6392
63.70, 15.6333
63.80, 15.6274
63.90, 15.6215
64.00, 15.6156
64.10, 15.6097
64.20, 15.6038
64.30, 15.5979
64.40, 15.5920
64.50, 15.5861
64.60, 15.5803
64.70, 15.5744
64.80, 15.5686
64.90, 15.5627
65.00, 15.5569
65.10, 15.5510
65.20, 15.5452
65.30, 15.5394
65.40, 15.5336
65.50, 15.5278
65.60, 15.5220
65.70, 15.5162
65.80, 15.5104
65.90, 15.5046
66.00, 15.4988
66.10, 15.4930
66.20, 15.4873
66.30, 15.4815
66.40, 15.4757
66.50, 15.4700
66.60, 15.4643
66.70, 15.4585
66.80, 15.4528
66.90, 15.4471
67.00, 15.4413
67.10, 15.4356
67.20, 15.4299
67.30, 15.4242
67.40, 15.4185
67.50, 15.4128
67.60, 15.4072
67.70, 15.4015
67.80, 15.3958
67.90, 15.3901
68.00, 15.3845
68.10, 15.3788
68.20, 15.3732
68.30, 15.3675
68.40, 15.3619
68.50, 15.3563
68.60, 15.3506
68.70, 15.3450
68.80, 15.3394
68.90, 15.3338
69.00, 15.3282
69.10, 15.3226
69.20, 15.3170
69.30, 15.3114
69.40, 15.3059
69.50, 15.3003
69.60, 15.2947
69.70, 15.2892
69.80, 15.2836
69.90, 15.2781
70.00, 15.2725
70.10, 15.2670
70.20, 15.2615
70.30, 15.2559
70.40, 15.2504
70.50, 15.2449
70.60, 15.2394
70.70, 15.2339
70.80, 15.2284
70.90, 15.2229
71.00, 15.2174
71.10, 15.2119
71.20, 15.2065
71.30, 15.2010
71.40, 15.1955
71.50, 15.1901
71.60, 15.1846
71.70, 15.1792
71.80, 15.1738
71.90, 15.1683
72.00, 15.1629
72.10, 15.1575
72.20, 15.1521
72.30, 15.1467
72.40, 15.1412
72.50, 15.1358
72.60, 15.1305
72.70, 15.1251
72.80, 15.1197
72.90, 15.1143
73.00, 15.1089
73.10, 15.1036
73.20, 15.0982
73.30, 15.0929
73.40, 15.0875
73.50, 15.0822
73.60, 15.0768
73.70, 15.0715
73.80, 15.0662
73.90, 15.0609
74.00, 15.0556
74.10, 15.0502
74.20, 15.0449
74.30, 15.0396
74.40, 15.0344
74.50, 15.0291
74.60, 15.0238
74.70, 15.0185
74.80, 15.0132
74.90, 15.0080
75.00, 15.0027
75.10, 14.9975
75.20, 14.9922
75.30, 14.9870
75.40, 14.9817
75.50, 14.9765
75.60, 14.9713
75.70, 14.9661
75.80, 14.9609
75.90, 14.9556
76.00, 14.9504
76.10, 14.9452
76.20, 14.9400
76.30, 14.9349
76.40, 14.9297
76.50, 14.9245
76.60, 14.9193
76.70, 14.9142
76.80, 14.9090
76.90, 14.9039
77.00, 14.8987
77.10, 14.8936
77.20, 14.8884
77.30, 14.8833
77.40, 14.8782
77.50, 14.8730
77.60, 14.8679
77.70, 14.8628
77.80, 14.8577
77.90, 14.8526
78.00, 14.8475
78.10, 14.8424
78.20, 14.8373
78.30, 14.8323
78.40, 14.8272
78.50, 14.8221
78.60, 14.8170
78.70, 14.8120
78.80, 14.8069
78.90, 14.8019
79.00, 14.7969
79.10, 14.7918
79.20, 14.7868
79.30, 14.7818
79.40, 14.7767
79.50, 14.7717
79.60, 14.7667
79.70, 14.7617
79.80, 14.7567
79.90, 14.7517
80.00, 14.7467
80.10, 14.7417
80.20, 14.7368
80.30, 14.7318
80.40, 14.7268
80.50, 14.7219
80.60, 14.7169
80.70, 14.7119
80.80, 14.7070
80.90, 14.7021
81.00, 14.6971
81.10, 14.6922
81.20, 14.6873
81.30, 14.6823
81.40, 14.6774
81.50, 14.6725
81.60, 14.6676
81.70, 14.6627
81.80, 14.6578
81.90, 14.6529
82.00, 14.6480
82.10, 14.6431
82.20, 14.6383
82.30, 14.6334
82.40, 14.6285
82.50, 14.6237
82.60, 14.6188
82.70, 14.6140
82.80, 14.6091
82.90, 14.6043
83.00, 14.5995
83.10, 14.5946
83.20, 14.5898
83.30, 14.5850
83.40, 14.5802
83.50, 14.5754
83.60, 14.5706
83.70, 14.5658
83.80, 14.5610
83.90, 14.5562
84.00, 14.5514
84.10, 14.5466
84.20, 14.5418
84.30, 14.5371
84.40, 14.5323
84.50, 14.5275
84.60, 14.5228
84.70, 14.5180
84.80, 14.5133
84.90, 14.5086
85.00, 14.5038
85.10, 14.4991
85.20, 14.4944
85.30, 14.4896
85.40, 14.4849
85.50, 14.4802
85.60, 14.4755
85.70, 14.4708
85.80, 14.4661
85.90, 14.4614
86.00, 14.4568
86.10, 14.4521
86.20, 14.4474
86.30, 14.4427
86.40, 14.4381
86.50, 14.4334
86.60, 14.4288
86.70, 14.4241
86.80, 14.4195
86.90, 14.4148
87.00, 14.4102
87.10, 14.4055
87.20, 14.4009
87.30, 14.3963
87.40, 14.3917
87.50, 14.3871
87.60, 14.3825
87.70, 14.3779
87.80, 14.3733
87.90, 14.3687
88.00, 14.3641
88.10, 14.3595
88.20, 14.3549
88.30, 14.3504
88.40, 14.3458
88.50, 14.3412
88.60, 14.3367
88.70, 14.3321
88.80, 14.3276
88.90, 14.3230
89.00, 14.3185
89.10, 14.3139
89.20, 14.3094
89.30, 14.3049
89.40, 14.3004
89.50, 14.2959
89.60, 14.2913
89.70, 14.2868
89.80, 14.2823
89.90, 14.2778
90.00, 14.2734
90.10, 14.2689
90.20, 14.2644
90.30, 14.2599
90.40, 14.2554
90.50, 14.2510
90.60, 14.2465
90.70, 14.2420
90.80, 14.2376
90.90, 14.2331
91.00, 14.2287
91.10, 14.2243
91.20, 14.2198
91.30, 14.2154
91.40, 14.2110
91.50, 14.2065
91.60, 14.2021
91.70, 14.1977
91.80, 14.1933
91.90, 14.1889
92.00, 14.1845
92.10, 14.1801
92.20, 14.1757
92.30, 14.1713
92.40, 14.1670
92.50, 14.1626
92.60, 14.1582
92.70, 14.1538
92.80, 14.1495
92.90, 14.1451
93.00, 14.1408
93.10, 14.1364
93.20, 14.1321
93.30, 14.1277
93.40, 14.1234
93.50, 14.1191
93.60, 14.1148
93.70, 14.1104
93.80, 14.1061
93.90, 14.1018
94.00, 14.0975
94.10, 14.0932
94.20, 14.0889
94.30, 14.0846
94.40, 14.0803
94.50, 14.0760
94.60, 14.0718
94.70, 14.0675
94.80, 14.0632
94.90, 14.0589
95.00, 14.0547
95.10, 14.0504
95.20, 14.0462
95.30, 14.0419
95.40, 14.0377
95.50, 14.0334
95.60, 14.0292
95.70, 14.0250
95.80, 14.0207
95.90, 14.0165
96.00, 14.0123
96.10, 14.0081
96.20, 14.0039
96.30, 13.9997
96.40, 13.9955
96.50, 13.9913
96.60, 13.9871
96.70, 13.9829
96.80, 13.9787
96.90, 13.9745
97.00, 13.9704
97.10, 13.9662
97.20, 13.9620
97.30, 13.9579
97.40, 13.9537
97.50, 13.9496
97.60, 13.9454
97.70, 13.9413
97.80, 13.9371
97.90, 13.9330
98.00, 13.9289
98.10, 13.9248
98.20, 13.9206
98.30, 13.9165
98.40, 13.9124
98.50, 13.9083
98.60, 13.9042
98.70, 13.9001
98.80, 13.8960
98.90, 13.8919
99.00, 13.8878
99.10, 13.8837
99.20, 13.8797
99.30, 13.8756
99.40, 13.8715
99.50, 13.8675
99.60, 13.8634
99.70, 13.8593
99.80, 13.8553
99.90, 13.8512
100.00, 13.8472
100.10, 13.8432
100.20, 13.8391
100.30, 13.8351
100.40, 13.8311
100.50, 13.8270
100.60, 13.8230
100.70, 13.8190
100.80, 13.8150
100.90, 13.8110
101.00, 13.8070
101.10, 13.8030
101.20, 13.7990
101.30, 13.7950
101.40, 13.7910
101.50, 13.7870
101.60, 13.7831
101.70, 13.7791
101.80, 13.7751
101.90, 13.7712
102.00, 13.7672
102.10, 13.7632
102.20, 13.7593
102.30, 13.7553
102.40, 13.7514
102.50, 13.7475
102.60, 13.7435
102.70, 13.7396
102.80, 13.7357
102.90, 13.7318
103.00, 13.7278
103.10, 13.7239
103.20, 13.7200
103.30, 13.7161
103.40, 13.7122
103.50, 13.7083
103.60, 13.7044
103.70, 13.7005
103.80, 13.6966
103.90, 13.6928
104.00, 13.6889
104.10, 13.6850
104.20, 13.6811
104.30, 13.6773
104.40, 13.6734
104.50, 13.6695
104.60, 13.6657
104.70, 13.6618
104.80, 13.6580
104.90, 13.6542
105.00, 13.6503
105.10, 13.6465
105.20, 13.6427
105.30, 13.6388
105.40, 13.6350
105.50, 13.6312
105.60, 13.6274
105.70, 13.6236
105.80, 13.6198
105.90, 13.6160
106.00, 13.6122
106.10, 13.6084
106.20, 13.6046
106.30, 13.6008
106.40, 13.5970
106.50, 13.5933
106.60, 13.5895
106.70, 13.5857
106.80, 13.5819
106.90, 13.5782
107.00, 13.5744
107.10, 13.5707
107.20, 13.5669
107.30, 13.5632
107.40, 13.5594
107.50, 13.5557
107.60, 13.5520
107.70, 13.5482
107.80, 13.5445
107.90, 13.5408
108.00, 13.5371
108.10, 13.5334
108.20, 13.5296
108.30, 13.5259
108.40, 13.5222
108.50, 13.5185
108.60, 13.5148
108.70, 13.5112
108.80, 13.5075
108.90, 13.5038
109.00, 13.5001
109.10, 13.4964
109.20, 13.4928
109.30, 13.4891
109.40, 13.4854
109.50, 13.4818
109.60, 13.4781
109.70, 13.4745
109.80, 13.4708
109.90, 13.4672
110.00, 13.4635
110.10, 13.4599
110.20, 13.4563
110.30, 13.4526
110.40, 13.4490
110.50, 13.4454
110.60, 13.4418
110.70, 13.4382
110.80, 13.4345
110.90, 13.4309
111.00, 13.4273
111.10, 13.4237
111.20, 13.4201
111.30, 13.4166
111.40, 13.4130
111.50, 13.4094
111.60, 13.4058
111.70, 13.4022
111.80, 13.3987
111.90, 13.3951
112.00, 13.3915
112.10, 13.3880
112.20, 13.3844
112.30, 13.3808
112.40, 13.3773
112.50, 13.3737
112.60, 13.3702
112.70, 13.3667
112.80, 13.3631
112.90, 13.3596
113.00, 13.3561
113.10, 13.3526
113.20, 13.3490
113.30, 13.3455
113.40, 13.3420
113.50, 13.3385
113.60, 13.3350
113.70, 13.3315
113.80, 13.3280
113.90, 13.3245
114.00, 13.3210
114.10, 13.3175
114.20, 13.3140
114.30, 13.3106
114.40, 13.3071
114.50, 13.3036
114.60, 13.3001
114.70, 13.2967
114.80, 13.2932
114.90, 13.2897
115.00, 13.2863
115.10, 13.2828
115.20, 13.2794
115.30, 13.2760
115.40, 13.2725
115.50, 13.2691
115.60, 13.2656
115.70, 13.2622
115.80, 13.2588
115.90, 13.2554
116.00, 13.2520
116.10, 13.2485
116.20, 13.2451
116.30, 13.2417
116.40, 13.2383
116.50, 13.2349
116.60, 13.2315
116.70, 13.2281
116.80, 13.2247
116.90, 13.2213
117.00, 13.2180
117.10, 13.2146
117.20, 13.2112
117.30, 13.2078
117.40, 13.2045
117.50, 13.2011
117.60, 13.1977
117.70, 13.1944
117.80, 13.1910
117.90, 13.1877
118.00, 13.1843
